claim_id,claim,computed,holds,evidence
desc_effects_exclude_large,Weekly estimates exclude large persuasive effects,NA,NA,Weekly SATEs run from -0.521 to 0.432 on the five-point favorability scale and from -0.084 to 0.097 on vote choice
desc_fav_meta_significant,The pooled favorability effect is statistically significant,NA,1,"Pooled favorability effect 0.0492 with a 95 per cent interval of [0.0100, 0.0884]"
desc_vc_meta_not_significant,The pooled vote choice effect is not statistically significant,NA,1,"Pooled vote choice effect 0.0072 with a 95 per cent interval of [-0.0072, 0.0215]"
desc_large_negative_early_may,Largest significant negative favorability estimate in May,-0.5209436030694639,NA,"Unifier, week of 2016-05-09, -0.521 [-0.906, -0.136]"
desc_large_positive_october,Largest significant positive favorability estimate in October,0.43202600389017976,NA,"Example, week of 2016-10-31, 0.432 [0.152, 0.712]. The largest favorability estimate anywhere in the study is 0.432"
desc_two_other_negative_october,Other significant negative favorability estimates in October,2,NA,Consumer Benefit (-0.313); Change (-0.279)
desc_partisan_ses_exceed_coefficients,Partisanship cells of Table 1 whose standard error exceeds the coefficient,6,0,Candidate favorability (1) democrat_d: 0.0352 (0.0347); Candidate favorability (1) independent_d: 0.0231 (0.0515); Candidate favorability (2) democrat_d: 0.0218 (0.0361); Candidate favorability (2) independent_d: 0.0149 (0.0518); Vote choice (3) democrat_d: 0.0108 (0.0100); Vote choice (3) independent_d: 0.0088 (0.0197); Vote choice (4) democrat_d: 0.0061 (0.0112); Vote choice (4) independent_d: 0.0066 (0.0199)
desc_independents_not_more_malleable,No partisanship coefficient in Table 1 is distinguishable from zero,0,1,Candidate favorability (1) democrat_d: p = 0.310; Candidate favorability (1) independent_d: p = 0.654; Candidate favorability (2) democrat_d: p = 0.547; Candidate favorability (2) independent_d: p = 0.774; Vote choice (3) democrat_d: p = 0.281; Vote choice (3) independent_d: p = 0.654; Vote choice (4) democrat_d: p = 0.587; Vote choice (4) independent_d: p = 0.739
desc_time_slope_negative_count,Specifications in which the time slope is negative,3,NA,Candidate favorability (1): -0.0230; Candidate favorability (2): 0.0046; Vote choice (3): -0.0094; Vote choice (4): -0.0077
desc_time_slope_significant_count,Specifications in which the time slope is distinguishable from zero,1,NA,Candidate favorability (1): p = 0.102; Candidate favorability (2): p = 0.652; Vote choice (3): p = 0.013; Vote choice (4): p = 0.070
desc_general_election_not_significant,The general election coefficient is not statistically significant,NA,1,General election coefficient 0.1226 (p = 0.0668)
desc_attack_and_pac_not_significant,No tone or sponsor coefficient in Table 1 is distinguishable from zero,0,1,Candidate favorability (1) attack_d: p = 0.711; Candidate favorability (1) pac_d: p = 0.769; Candidate favorability (2) pac_d: p = 0.585; Vote choice (3) attack_d: p = 0.087; Vote choice (3) pac_d: p = 0.071; Vote choice (4) pac_d: p = 0.278
desc_pro_clinton_more_effective,Target candidate coefficients relative to the omitted pro-Clinton category,6,NA,Candidate favorability (2) pro_sanders_d: -0.0749; Candidate favorability (2) pro_trump_d: -0.1238; Candidate favorability (2) pro_cruz_d: 0.0471; Candidate favorability (2) pro_kasich_d: -0.1818; Candidate favorability (2) anti_clinton_d: -0.1051; Candidate favorability (2) anti_trump_d: -0.0414; Vote choice (4) pro_trump_d: -0.0158; Vote choice (4) anti_clinton_d: 0.0116; Vote choice (4) anti_trump_d: 0.0261
desc_pro_clinton_differences_not_significant,No target candidate coefficient in Table 1 is distinguishable from zero,0,1,Candidate favorability (2) pro_sanders_d: p = 0.397; Candidate favorability (2) pro_trump_d: p = 0.221; Candidate favorability (2) pro_cruz_d: p = 0.685; Candidate favorability (2) pro_kasich_d: p = 0.209; Candidate favorability (2) anti_clinton_d: p = 0.133; Candidate favorability (2) anti_trump_d: p = 0.475; Vote choice (4) pro_trump_d: p = 0.641; Vote choice (4) anti_clinton_d: p = 0.614; Vote choice (4) anti_trump_d: p = 0.223
desc_partisan_match_democrats,Democratic respondents respond more strongly to pro-Democratic than pro-Republican advertisements,NA,1,Favorability 0.106 versus -0.026; vote choice 0.027 versus -0.023
desc_partisan_match_republicans,Republican respondents respond similarly to pro-Democratic and pro-Republican advertisements,NA,NA,"Favorability 0.039 versus 0.048, neither distinguishable from zero; vote choice 0.007 versus -0.002, the second of which is negative. The sentence does not say which outcome it describes"
desc_fail_reject_three_of_four,Homogeneity tests in Table S2 that fail to reject at the 5 per cent level,3,NA,sates Favorability: p = 0.0919; sates Vote Choice: p = 0.0700; cates Favorability: p = 0.0002; cates Vote Choice: p = 0.0961
desc_repeat_ads_no_significant_variation,Repeat advertisements whose effect varies significantly across weeks,0,1,Quotes: p = 0.329; Real Life: p = 0.442; America: p = 0.790; Love/Kindness: p = 0.387; Speak: p = 0.232; Role Model: p = 0.322; Mirrors: p = 0.095
desc_repeat_ad_quotes_increases,Weekly estimates for the advertisement Quotes,NA,NA,2016-03-21: -0.185; 2016-04-05: -0.152; 2016-05-23: 0.067; 2016-10-10: 0.028
desc_table_1_m1_intrcpt_star,Table 1 marks the model 1 average effect as significant at the 5 per cent level,NA,1,p = 0.00587
desc_table_1_m2_intrcpt_star,Table 1 marks the model 2 average effect as significant at the 5 per cent level,NA,1,p = 0.00245
desc_table_1_m3_date_d_star,Table 1 marks the model 3 time slope as significant at the 5 per cent level,NA,1,p = 0.01344
